key,company,to,subject,status,draft_id,error
contact@openska.com|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Openska,Openska,contact@openska.com,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Openska,OK,r-487774124753928063,
contact@infabric.eu|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – inFABric - architecture design urbanism,inFABric - architecture design urbanism,contact@infabric.eu,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – inFABric - architecture design urbanism,OK,r-7800439446239351062,
contact@subskill.com|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Subskill,Subskill,contact@subskill.com,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Subskill,OK,r2998981371398766179,
contact@webfabrick.com|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – WebFabrick,WebFabrick,contact@webfabrick.com,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – WebFabrick,OK,r-8220441418270412001,
rh@ar-che.com|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Atelier Ar-Chè,Atelier Ar-Chè,rh@ar-che.com,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Atelier Ar-Chè,OK,r1031692427466247084,
contact@atdl.archi|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – ATDL Architectes,ATDL Architectes,contact@atdl.archi,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – ATDL Architectes,OK,r2122529123599265841,
hello@capitainesite.com|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Hérault Arnod Architectures,Hérault Arnod Architectures,hello@capitainesite.com,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Hérault Arnod Architectures,OK,r8348053230409528028,
contact@reciproque.com|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Reciproque,Reciproque,contact@reciproque.com,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Reciproque,OK,r8125369091603166365,
contact@threekit.com|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Threekit,Threekit,contact@threekit.com,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Threekit,OK,r3449340172557351025,
contact@innovela.com|Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Innovela,Innovela,contact@innovela.com,Candidature spontanée – Alternance développement / systèmes – Septembre 2026 – Innovela,OK,r3803435080690544751,
contact@caccavelli-security.fr|Candidature spontanée – Alternance informatique – Septembre 2026 – Caccavelli Security Development,Caccavelli Security Development,contact@caccavelli-security.fr,Candidature spontanée – Alternance informatique – Septembre 2026 – Caccavelli Security Development,OK,r-6398356754039377209,
contact@unenouvelleenergie.fr|Candidature spontanée – Alternance informatique – Septembre 2026 – Nouvelle énergie,Nouvelle énergie,contact@unenouvelleenergie.fr,Candidature spontanée – Alternance informatique – Septembre 2026 – Nouvelle énergie,OK,r-7956979119657402272,
contact@latelierdigital.paris|Candidature spontanée – Alternance informatique – Septembre 2026 – L'Atelier Digital,L'Atelier Digital,contact@latelierdigital.paris,Candidature spontanée – Alternance informatique – Septembre 2026 – L'Atelier Digital,OK,r8341472937354218688,
contact@atelier126archi.fr|Candidature spontanée – Alternance informatique – Septembre 2026 – Christophe Chosson,Christophe Chosson,contact@atelier126archi.fr,Candidature spontanée – Alternance informatique – Septembre 2026 – Christophe Chosson,OK,r1209089826550159185,
